tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
53,MPL Philippines Season 5,A,20200228.0,20200531.0,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_5,20231210,53_MPL Philippines Season 5.csv
54,MPL MY/SG Season 5,A,20200229.0,20200503.0,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_5,20231210,54_MPL MY_SG Season 5.csv
55,MPL Indonesia Season 5,A,20200207.0,20200412.0,1.4.44 – 1.4.60,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5,20231210,55_MPL Indonesia Season 5.csv
56,30th Southeast Asian Games,A,20191205.0,20191208.0,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2019,20231210,56_30th Southeast Asian Games.csv
57,MPL Indonesia Season 4,A,20190723.0,20191027.0,1.3.52 – 1.4.08,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4,20231210,57_MPL Indonesia Season 4.csv
58,MPL Myanmar Season 3,A,20190831.0,20191026.0,1.3.96 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_3,20231210,58_MPL Myanmar Season 3.csv
59,MPL MY/SG Season 4,A,20190824.0,20191020.0,1.4.06 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_4,20231210,59_MPL MY_SG Season 4.csv
60,MPL Philippines Season 4,A,20190810.0,20191006.0,1.3.96 – 1.4.14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_4,20231210,60_MPL Philippines Season 4.csv
61,MLBB Southeast Asia Cup 2019,A,20190619.0,20190623.0,,https://liquipedia.net/mobilelegends/MSC/2019,20231210,61_MLBB Southeast Asia Cup 2019.csv
62,MPL Philippines Season 3,A,20190323.0,20190526.0,1.3.52 – 1.3.80,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3,20231210,62_MPL Philippines Season 3.csv
63,MPL Indonesia Season 3,A,20190216.0,20190503.0,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3,20231210,63_MPL Indonesia Season 3.csv
64,MPL MY/SG Season 3,A,20190301.0,20190421.0,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_3,20231210,64_MPL MY_SG Season 3.csv
65,MPL Philippines Season 2,A,20181027.0,20190113.0,1.3.12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_2,20231210,65_MPL Philippines Season 2.csv
66,MPL Indonesia Season 2,A,20180907.0,20181118.0,1.3.10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2,20231210,66_MPL Indonesia Season 2.csv
67,MPL MY/SG Season 2,A,20180810.0,20181021.0,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_2,20231210,67_MPL MY_SG Season 2.csv
68,MLBB Southeast Asia Cup 2018,A,20180727.0,20180729.0,,https://liquipedia.net/mobilelegends/MSC/2018,20231210,68_MLBB Southeast Asia Cup 2018.csv
69,MPL Philippines Season 1,A,20180512.0,20180701.0,1.2.76 – 1.2.90,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1,20231210,69_MPL Philippines Season 1.csv
70,MPL MY/SG Season 1,A,20180113.0,20180415.0,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_1,20231210,70_MPL MY_SG Season 1.csv
71,MPL Indonesia Season 1,A,20180113.0,20180401.0,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1,20231210,71_MPL Indonesia Season 1.csv
72,MLBB Southeast Asia Cup 2017,A,20170901.0,20170903.0,,https://liquipedia.net/mobilelegends/MSC/2017,20231210,72_MLBB Southeast Asia Cup 2017.csv
73,Liga Esports National 2023 - Liga 1,B,20231006.0,20231203.0,1.8.20 – 1.8.30B,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/1,20231210,73_Liga Esports National 2023 - Liga 1.csv
74,Unipin Ladies Series SEA Championship 2023,B,20231127.0,20231203.0,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2023,20231210,74_Unipin Ladies Series SEA Championship 2023.csv
75,Esports National Championship 2023,B,20231107.0,20231119.0,1.8.30B,https://liquipedia.net/mobilelegends/Esports_National_Championship/2023,20231210,75_Esports National Championship 2023.csv
76,Light of Dawn Pro-Invitational Tournament Season (2),B,20231014.0,20231112.0,,https://liquipedia.net/mobilelegends/Light_of_Dawn_Pro-Invitational_Tournament_Season_(2),20231210,76_Light of Dawn Pro-Invitational Tournament Season (2).csv
77,GG Gaming Festival - 2023,B,20231007.0,20231105.0,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/GG_Gaming_Festival/2023,20231210,77_GG Gaming Festival - 2023.csv
78,MDL Indonesia Season 8,B,20230710.0,20231029.0,1.7.94 – 1.8.22,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_8,20231210,78_MDL Indonesia Season 8.csv
79,MDL Philippines Season 2,B,20230829.0,20231022.0,1.8.08,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_2,20231210,79_MDL Philippines Season 2.csv
80,Piala Presiden Esports 2023,B,20230929.0,20231022.0,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023,20231210,80_Piala Presiden Esports 2023.csv
81,Malaysia Esports League 2023,B,20231021.0,20231022.0,1.8.22,https://liquipedia.net/mobilelegends/Malaysia_Esports_League/2023,20231210,81_Malaysia Esports League 2023.csv
82,Johor All Star Esports Championship 2023,B,20231020.0,20231022.0,1.8.22,https://liquipedia.net/mobilelegends/Johor_All_Star_Esports_Championship/2023,20231210,82_Johor All Star Esports Championship 2023.csv
83,Piala Presiden Esports 2023 Women,B,20230903.0,20231021.0,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023/Women,20231210,83_Piala Presiden Esports 2023 Women.csv
84,MTC Turkiye Championship Season 2,B,20230826.0,20231015.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2,20231210,84_MTC Turkiye Championship Season 2.csv
85,MPL Cambodia Autumn 2023,B,20230812.0,20231008.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Autumn,20231210,85_MPL Cambodia Autumn 2023.csv
86,MLBB Continental Championships Season 2,B,20230812.0,20231008.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_2,20231210,86_MLBB Continental Championships Season 2.csv
87,North America Challenger Tournament Fall 2023,B,20230805.0,20231001.0,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/NACT/2023/Fall,20231210,87_North America Challenger Tournament Fall 2023.csv
88,ESN National Championship 2023,B,20230911.0,20231001.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/ESN/National_Championship/2023,20231210,88_ESN National Championship 2023.csv
89,Piala Ketum Kadin Esports 2023,B,20230901.0,20230924.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Piala_Ketum_Kadin_Esports/2023,20231210,89_Piala Ketum Kadin Esports 2023.csv
90,Liga Esports National 2023 - Liga 2,B,20230825.0,20230924.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/2,20231210,90_Liga Esports National 2023 - Liga 2.csv
91,M Challenge Cup Mekong Season 2,B,20230805.0,20230923.0,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/M_Challenge_Cup/Mekong/Season_2,20231210,91_M Challenge Cup Mekong Season 2.csv
92,Unipin Ladies Series Season 3,B,20230807.0,20230910.0,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_3,20231210,92_Unipin Ladies Series Season 3.csv
93,WOWNOW & Prince Mall League Season 2,B,20230809.0,20230903.0,1.8.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_2,20231210,93_WOWNOW & Prince Mall League Season 2.csv
94,MLBB LATAM Super League South Season 3,B,20230701.0,20230827.0,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_3,20231210,94_MLBB LATAM Super League South Season 3.csv
95,MPL Brazil Season 5,B,20230708.0,20230826.0,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5,20231210,95_MPL Brazil Season 5.csv
96,MLBB LATAM Super League North Season 2,B,20230701.0,20230820.0,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_2,20231210,96_MLBB LATAM Super League North Season 2.csv
97,MTC Turkiye Championship Season 2,B,20230812.0,20230813.0,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_2,20231210,97_MTC Turkiye Championship Season 2.csv
98,MTC Turkiye Championship Season 2,B,20230805.0,20230806.0,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_1,20231210,98_MTC Turkiye Championship Season 2.csv
99,WSL Season 7,B,20230630.0,20230730.0,,https://liquipedia.net/mobilelegends/WSL/Season_7,20231210,99_WSL Season 7.csv
100,World Cyber Games 2023,B,20230603.0,20230730.0,,https://liquipedia.net/mobilelegends/World_Cyber_Games/2023,20231210,100_World Cyber Games 2023.csv
101,Juicy Legends Tournament 2023 Q2 Pro Division,B,20230623.0,20230730.0,,https://liquipedia.net/mobilelegends/Juicy_Legends_Tournament/2023/Q2/Pro,20231210,101_Juicy Legends Tournament 2023 Q2 Pro Division.csv
102,Phygital Games #9,B,20230720.0,20230723.0,1.7.94,https://liquipedia.net/mobilelegends/Phygital_Games/9,20231210,102_Phygital Games #9.csv
103,IESF World Esports Championship 2023 - Asia & Oceania Qualifier,B,20230710.0,20230713.0,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023/Asia%26Oceania,20231210,103_IESF World Esports Championship 2023 - Asia & Oceania Qualifier.csv
104,Piala Bung Karno Esports 2023,B,20230625.0,20230704.0,,https://liquipedia.net/mobilelegends/Piala_Bung_Karno_Esports/2023,20231210,104_Piala Bung Karno Esports 2023.csv
105,H3RO Esports 4.0,B,20230602.0,20230625.0,1.6.94B,https://liquipedia.net/mobilelegends/H3RO_Esports/4.0,20231210,105_H3RO Esports 4.0.csv
106,MESA Legends Series #1,B,20230619.0,20230622.0,,https://liquipedia.net/mobilelegends/MESA_Legends_Series/1,20231210,106_MESA Legends Series #1.csv
107,Last Victory Invitational 2023,B,20230531.0,20230616.0,,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2023,20231210,107_Last Victory Invitational 2023.csv
108,Kohai SEA Championship Season 1,B,20230601.0,20230604.0,,https://liquipedia.net/mobilelegends/Kohai_SEA_Championship/Season_1,20231210,108_Kohai SEA Championship Season 1.csv
109,Kohai Championship MLBB Season 3,B,,,,https://liquipedia.net/mobilelegends/Kohai_Championship/Season_3,20231210,109_Kohai Championship MLBB Season 3.csv
110,MTC Turkiye Championship Season 1,B,20230408.0,20230521.0,1.7.68 – 1.7.82,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_1,20231210,110_MTC Turkiye Championship Season 1.csv
111,North America Challenger Tournament Spring 2023,B,20230311.0,20230514.0,,https://liquipedia.net/mobilelegends/NACT/2023/Spring,20231210,111_North America Challenger Tournament Spring 2023.csv
112,MLBB Continental Championships Season 1,B,20230401.0,20230514.0,1.7.68,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_1,20231210,112_MLBB Continental Championships Season 1.csv
113,MPL Brazil Season 4,B,20230311.0,20230507.0,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_4,20231210,113_MPL Brazil Season 4.csv
114,MLBB LATAM Super League South Season 2,B,20230304.0,20230507.0,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_2,20231210,114_MLBB LATAM Super League South Season 2.csv
115,PBA Esports Bakbakan,B,20230227.0,20230501.0,,https://liquipedia.net/mobilelegends/PBA_Esports_Bakbakan,20231210,115_PBA Esports Bakbakan.csv
116,MLBB LATAM Super League North Season 1,B,20230304.0,20230430.0,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_1,20231210,116_MLBB LATAM Super League North Season 1.csv
117,Snapdragon Pro Series Season 1 SEA - Challenge Final,B,20230419.0,20230426.0,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Challenge_Final,20231210,117_Snapdragon Pro Series Season 1 SEA - Challenge Final.csv
118,M5 World Championship,S,20231123,20231217,1.8.30B,https://liquipedia.net/mobilelegends/M5_World_Championship,20231229,118_M5 World Championship.csv
