tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
37,ONE Esports MPL Invitational 2021,A,20211102.0,20211107,1.6.26,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2021,20231230,37_ONE Esports MPL Invitational 2021.csv
38,MPL Indonesia Season 8,A,20210813.0,20211024,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8,20231230,38_MPL Indonesia Season 8.csv
39,MPL Philippines Season 8,A,20210827.0,20211024,1.6.10 – 1.6.18,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_8,20231230,39_MPL Philippines Season 8.csv
40,MPL Malaysia Season 8,A,20210813.0,20211017,1.6.18,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_8,20231230,40_MPL Malaysia Season 8.csv
41,MPL Singapore Season 2,A,20210911.0,20211017,1.6.10 – 1.6.26,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_2,20231230,41_MPL Singapore Season 2.csv
42,MLBB Southeast Asia Cup 2021,A,20210607.0,20210613,,https://liquipedia.net/mobilelegends/MSC/2021,20231230,42_MLBB Southeast Asia Cup 2021.csv
43,MPL Malaysia Season 7,A,20210312.0,20210530,,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_7,20231230,43_MPL Malaysia Season 7.csv
44,MPL Philippines Season 7,A,20210319.0,20210530,1.5.62 – 1.5.78,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_7,20231230,44_MPL Philippines Season 7.csv
45,MPL Singapore Season 1,A,20210403.0,20210509,1.5.62 – 1.5.70,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_1,20231230,45_MPL Singapore Season 1.csv
46,MPL Indonesia Season 7,A,20210226.0,20210502,1.5.52 – 1.5.62,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_7,20231230,46_MPL Indonesia Season 7.csv
47,ONE Esports MPL Invitational 2020,A,20201127.0,20201206,1.5.32,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2020,20231230,47_ONE Esports MPL Invitational 2020.csv
48,MPL Myanmar Season 5,A,20200926.0,20201101,1.5.16 – 1.5.24,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_5,20231230,48_MPL Myanmar Season 5.csv
49,MPL MY/SG Season 6,A,20200828.0,20201025,,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_6,20231230,49_MPL MY_SG Season 6.csv
50,MPL Philippines Season 6,A,20200821.0,20201025,1.4.94B – 1.5.16B,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_6,20231230,50_MPL Philippines Season 6.csv
51,MPL Indonesia Season 6,A,20200814.0,20201018,,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_6,20231230,51_MPL Indonesia Season 6.csv
52,MPL Invitational 4 Nation Cup,A,20200619.0,20200705,1.4.86,https://liquipedia.net/mobilelegends/MPLI_4_Nation_Cup,20231230,52_MPL Invitational 4 Nation Cup.csv
53,MPL Myanmar Season 4,A,20200516.0,20200621,1.4.76 – 1.4.86,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_4,20231230,53_MPL Myanmar Season 4.csv
54,MPL Philippines Season 5,A,20200228.0,20200531,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_5,20231230,54_MPL Philippines Season 5.csv
55,MPL MY/SG Season 5,A,20200229.0,20200503,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_5,20231230,55_MPL MY_SG Season 5.csv
56,MPL Indonesia Season 5,A,20200207.0,20200412,1.4.44 – 1.4.60,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5,20231230,56_MPL Indonesia Season 5.csv
57,30th Southeast Asian Games,A,20191205.0,20191208,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2019,20231230,57_30th Southeast Asian Games.csv
58,MPL Indonesia Season 4,A,20190823.0,20191027,1.3.52 – 1.4.08,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4,20231230,58_MPL Indonesia Season 4.csv
59,MPL Myanmar Season 3,A,20190831.0,20191026,1.3.96 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_3,20231230,59_MPL Myanmar Season 3.csv
60,MPL MY/SG Season 4,A,20190824.0,20191020,1.4.06 – 1.4.20,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_4,20231230,60_MPL MY_SG Season 4.csv
61,MPL Philippines Season 4,A,20190810.0,20191006,1.3.96 – 1.4.14,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_4,20231230,61_MPL Philippines Season 4.csv
62,MLBB Southeast Asia Cup 2019,A,20190619.0,20190623,,https://liquipedia.net/mobilelegends/MSC/2019,20231230,62_MLBB Southeast Asia Cup 2019.csv
63,MPL Philippines Season 3,A,20190323.0,20190526,1.3.52 – 1.3.80,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_3,20231230,63_MPL Philippines Season 3.csv
64,MPL Indonesia Season 3,A,20190216.0,20190505,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3,20231230,64_MPL Indonesia Season 3.csv
65,MPL MY/SG Season 3,A,20190301.0,20190421,1.3.52 – 1.3.54,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_3,20231230,65_MPL MY_SG Season 3.csv
66,MPL Philippines Season 2,A,20181027.0,20190113,1.3.12,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_2,20231230,66_MPL Philippines Season 2.csv
67,MPL Indonesia Season 2,A,20180907.0,20181118,1.3.10,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2,20231230,67_MPL Indonesia Season 2.csv
68,MPL MY/SG Season 2,A,20180810.0,20181021,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_2,20231230,68_MPL MY_SG Season 2.csv
69,MLBB Southeast Asia Cup 2018,A,20180727.0,20180729,,https://liquipedia.net/mobilelegends/MSC/2018,20231230,69_MLBB Southeast Asia Cup 2018.csv
70,MPL Philippines Season 1,A,20180512.0,20180701,1.2.76 – 1.2.90,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_1,20231230,70_MPL Philippines Season 1.csv
71,MPL MY/SG Season 1,A,20180113.0,20180415,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_1,20231230,71_MPL MY_SG Season 1.csv
72,MPL Indonesia Season 1,A,20180113.0,20180401,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1,20231230,72_MPL Indonesia Season 1.csv
73,MLBB Southeast Asia Cup 2017,A,20170901.0,20170903,,https://liquipedia.net/mobilelegends/MSC/2017,20231230,73_MLBB Southeast Asia Cup 2017.csv
74,Liga Esports National 2023 - Liga 1,B,20231006.0,20231203,1.8.20 – 1.8.30B,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/1,20231230,74_Liga Esports National 2023 - Liga 1.csv
75,Unipin Ladies Series SEA Championship 2023,B,20231127.0,20231203,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2023,20231230,75_Unipin Ladies Series SEA Championship 2023.csv
76,Esports National Championship 2023,B,20231107.0,20231119,1.8.30B,https://liquipedia.net/mobilelegends/Esports_National_Championship/2023,20231230,76_Esports National Championship 2023.csv
77,Light of Dawn Pro-Invitational Tournament Season 2,B,20231014.0,20231112,,https://liquipedia.net/mobilelegends/Light_of_Dawn_Pro-Invitational_Tournament/Season_2,20231230,77_Light of Dawn Pro-Invitational Tournament Season 2.csv
78,GG Gaming Festival - 2023,B,20231007.0,20231105,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/GG_Gaming_Festival/2023,20231230,78_GG Gaming Festival - 2023.csv
79,MDL Indonesia Season 8,B,20230710.0,20231029,1.7.94 – 1.8.22,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_8,20231230,79_MDL Indonesia Season 8.csv
80,MDL Philippines Season 2,B,20230829.0,20231022,1.8.08,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_2,20231230,80_MDL Philippines Season 2.csv
81,Piala Presiden Esports 2023,B,20230929.0,20231022,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023,20231230,81_Piala Presiden Esports 2023.csv
82,Malaysia Esports League 2023,B,20231021.0,20231022,1.8.22,https://liquipedia.net/mobilelegends/Malaysia_Esports_League/2023,20231230,82_Malaysia Esports League 2023.csv
83,Johor All Star Esports Championship 2023,B,20231020.0,20231022,1.8.22,https://liquipedia.net/mobilelegends/Johor_All_Star_Esports_Championship/2023,20231230,83_Johor All Star Esports Championship 2023.csv
84,Piala Presiden Esports 2023 Women,B,20230903.0,20231021,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023/Women,20231230,84_Piala Presiden Esports 2023 Women.csv
85,MTC Turkiye Championship Season 2,B,20230826.0,20231015,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2,20231230,85_MTC Turkiye Championship Season 2.csv
86,MPL Cambodia Autumn 2023,B,20230812.0,20231008,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Autumn,20231230,86_MPL Cambodia Autumn 2023.csv
87,MLBB Continental Championships Season 2,B,20230812.0,20231008,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_2,20231230,87_MLBB Continental Championships Season 2.csv
88,North America Challenger Tournament Fall 2023,B,20230805.0,20231001,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/NACT/2023/Fall,20231230,88_North America Challenger Tournament Fall 2023.csv
89,ESN National Championship 2023,B,20230911.0,20231001,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/ESN/National_Championship/2023,20231230,89_ESN National Championship 2023.csv
90,Piala Ketum Kadin Esports 2023,B,20230901.0,20230924,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Piala_Ketum_Kadin_Esports/2023,20231230,90_Piala Ketum Kadin Esports 2023.csv
91,Liga Esports National 2023 - Liga 2,B,20230825.0,20230924,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/2,20231230,91_Liga Esports National 2023 - Liga 2.csv
92,M Challenge Cup Mekong Season 2,B,20230805.0,20230923,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/M_Challenge_Cup/Mekong/Season_2,20231230,92_M Challenge Cup Mekong Season 2.csv
93,Unipin Ladies Series Season 3,B,20230807.0,20230910,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_3,20231230,93_Unipin Ladies Series Season 3.csv
94,WOWNOW & Prince Mall League Season 2,B,20230809.0,20230903,1.8.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_2,20231230,94_WOWNOW & Prince Mall League Season 2.csv
95,MLBB LATAM Super League South Season 3,B,20230701.0,20230827,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_3,20231230,95_MLBB LATAM Super League South Season 3.csv
96,MPL Brazil Season 5,B,20230708.0,20230826,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5,20231230,96_MPL Brazil Season 5.csv
97,MLBB LATAM Super League North Season 2,B,20230701.0,20230820,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_2,20231230,97_MLBB LATAM Super League North Season 2.csv
98,MTC Turkiye Championship Season 2,B,20230812.0,20230813,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_2,20231230,98_MTC Turkiye Championship Season 2.csv
99,MTC Turkiye Championship Season 2,B,20230805.0,20230806,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_1,20231230,99_MTC Turkiye Championship Season 2.csv
100,WSL Season 7,B,20230630.0,20230730,,https://liquipedia.net/mobilelegends/WSL/Season_7,20231230,100_WSL Season 7.csv
101,World Cyber Games 2023,B,20230603.0,20230730,,https://liquipedia.net/mobilelegends/World_Cyber_Games/2023,20231230,101_World Cyber Games 2023.csv
102,Juicy Legends Tournament 2023 Q2 Pro Division,B,20230623.0,20230730,,https://liquipedia.net/mobilelegends/Juicy_Legends_Tournament/2023/Q2/Pro,20231230,102_Juicy Legends Tournament 2023 Q2 Pro Division.csv
103,Phygital Games #9,B,20230720.0,20230723,1.7.94,https://liquipedia.net/mobilelegends/Phygital_Games/9,20231230,103_Phygital Games #9.csv
104,IESF World Esports Championship 2023 - Asia & Oceania Qualifier,B,20230710.0,20230713,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023/Asia%26Oceania,20231230,104_IESF World Esports Championship 2023 - Asia & Oceania Qualifier.csv
105,Piala Bung Karno Esports 2023,B,20230625.0,20230704,,https://liquipedia.net/mobilelegends/Piala_Bung_Karno_Esports/2023,20231230,105_Piala Bung Karno Esports 2023.csv
106,H3RO Esports 4.0,B,20230602.0,20230625,1.6.94B,https://liquipedia.net/mobilelegends/H3RO_Esports/4.0,20231230,106_H3RO Esports 4.0.csv
107,MESA Legends Series #1,B,20230619.0,20230622,,https://liquipedia.net/mobilelegends/MESA_Legends_Series/1,20231230,107_MESA Legends Series #1.csv
108,Last Victory Invitational 2023,B,20230531.0,20230616,,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2023,20231230,108_Last Victory Invitational 2023.csv
109,Kohai SEA Championship Season 1,B,20230601.0,20230604,,https://liquipedia.net/mobilelegends/Kohai_SEA_Championship/Season_1,20231230,109_Kohai SEA Championship Season 1.csv
110,MTC Turkiye Championship Season 1,B,20230408.0,20230521,1.7.68 – 1.7.82,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_1,20231230,110_MTC Turkiye Championship Season 1.csv
111,North America Challenger Tournament Spring 2023,B,20230311.0,20230514,,https://liquipedia.net/mobilelegends/NACT/2023/Spring,20231230,111_North America Challenger Tournament Spring 2023.csv
112,MLBB Continental Championships Season 1,B,20230401.0,20230514,1.7.68,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_1,20231230,112_MLBB Continental Championships Season 1.csv
113,MPL Brazil Season 4,B,20230311.0,20230507,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_4,20231230,113_MPL Brazil Season 4.csv
114,MLBB LATAM Super League South Season 2,B,20230304.0,20230507,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_2,20231230,114_MLBB LATAM Super League South Season 2.csv
115,PBA Esports Bakbakan,B,20230227.0,20230501,,https://liquipedia.net/mobilelegends/PBA_Esports_Bakbakan,20231230,115_PBA Esports Bakbakan.csv
116,MLBB LATAM Super League North Season 1,B,20230304.0,20230430,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_1,20231230,116_MLBB LATAM Super League North Season 1.csv
117,Snapdragon Pro Series Season 1 SEA - Challenge Final,B,20230419.0,20230426,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Challenge_Final,20231230,117_Snapdragon Pro Series Season 1 SEA - Challenge Final.csv
118,MPL Cambodia Spring 2023,B,20230304.0,20230423,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Spring,20231230,118_MPL Cambodia Spring 2023.csv
119,MDL Philippines Season 1,B,20230215.0,20230423,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_1,20231230,119_MDL Philippines Season 1.csv
120,MDL Indonesia Season 7,B,20230207.0,20230416,,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_7,20231230,120_MDL Indonesia Season 7.csv
121,Snapdragon Pro Series Season 1 SEA - Challenge Season,B,20230308.0,20230330,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Challenge_Season,20231230,121_Snapdragon Pro Series Season 1 SEA - Challenge Season.csv
122,Real Cup Season 2,B,20230220.0,20230303,,https://liquipedia.net/mobilelegends/Real_Cup/Season_2,20231230,122_Real Cup Season 2.csv
123,Snapdragon Pro Series Season 1 SEA - Open Finals,B,20230213.0,20230223,,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_1/SEA/Open_Finals,20231230,123_Snapdragon Pro Series Season 1 SEA - Open Finals.csv
124,MLBB Women's Invitational 2023,B,20230206.0,20230212,1.7.44C,https://liquipedia.net/mobilelegends/MLBB_Women%27s_Invitational/2023,20231230,124_MLBB Women's Invitational 2023.csv
125,Phygital Games #3,B,20230206.0,20230207,,https://liquipedia.net/mobilelegends/Phygital_Games/3,20231230,125_Phygital Games #3.csv
126,MLBB Competitive Series Season 3,B,20230131.0,20230206,,https://liquipedia.net/mobilelegends/MLBB_Competitive_Series/Season_3,20231230,126_MLBB Competitive Series Season 3.csv
127,WSL Season 6,B,20230117.0,20230205,,https://liquipedia.net/mobilelegends/WSL/Season_6,20231230,127_WSL Season 6.csv
128,Masters of Esports,B,,20230128,,https://liquipedia.net/mobilelegends/Master_of_Esports/2023,20231230,128_Masters of Esports.csv
129,Lead National Series,B,20230121.0,20230128,,https://liquipedia.net/mobilelegends/Lead_National_Series,20231230,129_Lead National Series.csv
130,Myriad Esports Cup Season 1,B,20230121.0,20230128,1.7.44C – 1.7.44C,https://liquipedia.net/mobilelegends/Myriad_Esports_Cup/Season/1,20231230,130_Myriad Esports Cup Season 1.csv
131,IESPL Women Championship,B,20230109.0,20230114,1.7.44C,https://liquipedia.net/mobilelegends/IESPL_Women_Championship,20231230,131_IESPL Women Championship.csv
132,King's League Tournament,B,20221227.0,20221228,1.7.44,https://liquipedia.net/mobilelegends/King%27s_League_Tournament,20231230,132_King's League Tournament.csv
133,Top Clans 2022 Winter Invitational,B,20221221.0,20221225,1.7.44,https://liquipedia.net/mobilelegends/Top_Clans/2022/Winter_Invitational,20231230,133_Top Clans 2022 Winter Invitational.csv
134,Last Victory Invitational 2022,B,20221210.0,20221220,1.7.32C – 1.7.44,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2022,20231230,134_Last Victory Invitational 2022.csv
135,Skyesports SEA Championship,B,20221212.0,20221218,,https://liquipedia.net/mobilelegends/Skyesports_SEA_Championship,20231230,135_Skyesports SEA Championship.csv
136,Smart Kingdom Of Legends SEA Rivals,B,20221119.0,20221218,,https://liquipedia.net/mobilelegends/Smart_Kingdom_Of_Legends_SEA_Rivals,20231230,136_Smart Kingdom Of Legends SEA Rivals.csv
137,IESF World Esports Championship 2022,B,20221203.0,20221211,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2022,20231230,137_IESF World Esports Championship 2022.csv
138,Kohai Championship Season 2,B,20221124.0,20221127,,https://liquipedia.net/mobilelegends/Kohai_Championship/Season_2,20231230,138_Kohai Championship Season 2.csv
139,Piala Presiden Esports 2022,B,20221026.0,20221113,1.7.20B,https://liquipedia.net/mobilelegends/Piala_Presiden/2022,20231230,139_Piala Presiden Esports 2022.csv
140,NACT Fall Season - Path to M4,B,20220917.0,20221030,1.7.08 – 1.7.20B,https://liquipedia.net/mobilelegends/NACT/2022/Fall,20231230,140_NACT Fall Season - Path to M4.csv
141,MLBB Latam Super League Season 1,B,20220910.0,20221030,1.7.08 – 1.7.20B,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/Season_1,20231230,141_MLBB Latam Super League Season 1.csv
142,MPL Brazil Season 3,B,20220819.0,20221023,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_3,20231230,142_MPL Brazil Season 3.csv
143,Mobile Legends Upoint Esports Invitational Season 3,B,20221013.0,20221018,1.7.20,https://liquipedia.net/mobilelegends/Mobile_Legends_Upoint_Esports_Invitational/Season_3,20231230,143_Mobile Legends Upoint Esports Invitational Season 3.csv
144,MDL Indonesia Season 6,B,20220808.0,20221009,1.6.94B – 1.7.20,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_6,20231230,144_MDL Indonesia Season 6.csv
145,MPL Cambodia Autumn 2022,B,20220806.0,20221002,1.6.94B – 1.7.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2022/Autumn,20231230,145_MPL Cambodia Autumn 2022.csv
146,Türkiye Şampiyonası 2022,B,20220924.0,20221002,1.7.08 – 1.7.20,https://liquipedia.net/mobilelegends/Turkiye_Sampiyonasi/2022,20231230,146_Türkiye Şampiyonası 2022.csv
147,WOWNOW & Prince Mall League,B,20220815.0,20220911,1.7.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_1,20231230,147_WOWNOW & Prince Mall League.csv
148,The Annihilation III,B,20220815.0,20220904,1.7.08,https://liquipedia.net/mobilelegends/The_Annihilation/Season_3,20231230,148_The Annihilation III.csv
149,Unipin Ladies Series SEA Championship 2022,B,20220822.0,20220828,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2022,20231230,149_Unipin Ladies Series SEA Championship 2022.csv
150,Woman Star League Season 5,B,20220701.0,20220807,,https://liquipedia.net/mobilelegends/Woman_Star_League/Season_5,20231230,150_Woman Star League Season 5.csv
