hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
benedetta,152,3,2,5,0.0329,0.6,0.4,Blacklist Intl.,2,0.4,5,0.0347,3,0.0211,8,0.0544,Team SMG,3,3.0,1.0,13,0.0855,6,2,0.75,1143,1236,Team SMG,3,3.0,1.0
franco,152,3,2,5,0.0329,0.6,0.4,Team Falcons,3,0.6,3,0.021,4,0.0278,7,0.0476,Burmese Ghouls,2,1.0,0.5,12,0.0789,2,5,0.2857,1268,1135,Burmese Ghouls,2,1.0,0.5
gord,152,1,1,2,0.0132,0.5,0.5,AP.Bren,1,0.5,4,0.0278,6,0.0411,10,0.0667,AP.Bren,2,2.0,1.0,12,0.0789,7,3,0.7,1092,1473,AP.Bren,2,2.0,1.0
grock,152,0,1,1,0.0066,0.0,1.0,AP.Bren,1,1.0,6,0.0411,5,0.0345,11,0.0728,ONIC Esports,2,2.0,1.0,12,0.0789,6,5,0.5455,1241,1407,ONIC Esports,2,2.0,1.0
rafaela,152,2,1,3,0.0197,0.6667,0.3333,4Merical Esports,1,0.3333333333333333,5,0.0342,3,0.0208,8,0.0537,Blacklist Intl.,5,5.0,1.0,11,0.0724,7,1,0.875,1047,1068,Blacklist Intl.,5,5.0,1.0
yi sun-shin,152,3,2,5,0.0329,0.6,0.4,Imperio,5,1.0,1,0.0069,2,0.0137,3,0.0204,Imperio,3,3.0,1.0,8,0.0526,3,0,1.0,907,0,Imperio,3,3.0,1.0
gloo,152,1,1,2,0.0132,0.5,0.5,Burmese Ghouls,1,0.5,4,0.027,2,0.0137,6,0.04,Burmese Ghouls,3,2.0,0.6667,8,0.0526,5,1,0.8333,1006,803,AP.Bren,1,1.0,1.0
thamuz,152,0,1,1,0.0066,0.0,1.0,AP.Bren,1,1.0,5,0.0336,2,0.0137,7,0.0464,AP.Bren,3,2.0,0.6667,8,0.0526,3,4,0.4286,860,993,TheOhioBrothers,1,1.0,1.0
estes,152,1,1,2,0.0132,0.5,0.5,Blacklist Intl.,2,1.0,3,0.0203,2,0.0136,5,0.0333,Blacklist Intl.,4,3.0,0.75,7,0.0461,4,1,0.8,1067,1101,Team Lilgun,1,1.0,1.0
harith,152,1,0,1,0.0066,1.0,0.0,TheOhioBrothers,1,1.0,3,0.02,1,0.0068,4,0.0265,ONIC Esports,2,2.0,1.0,5,0.0329,4,0,1.0,789,0,ONIC Esports,2,2.0,1.0
leomord,152,1,0,1,0.0066,1.0,0.0,Fire Flux Esports,1,1.0,3,0.02,1,0.0068,4,0.0265,Fire Flux Esports,3,2.0,0.6667,5,0.0329,2,2,0.5,922,999,Fire Flux Esports,3,2.0,0.6667
clint,152,0,1,1,0.0066,0.0,1.0,Team Lilgun,1,1.0,2,0.0134,2,0.0134,4,0.0265,Imperio,3,1.0,0.3333,5,0.0329,1,3,0.25,826,1089,Imperio,3,1.0,0.3333
floryn,152,0,0,0,0.0,0.0,0.0,,0,0.0,4,0.0265,1,0.0068,5,0.0329,Blacklist Intl.,2,0.0,0.0,5,0.0329,0,5,0.0,0,948,Blacklist Intl.,2,0.0,0.0
esmeralda,152,0,2,2,0.0132,0.0,1.0,4Merical Esports,1,0.5,1,0.0067,1,0.0067,2,0.0133,4Merical Esports,1,0.0,0.0,4,0.0263,0,2,0.0,0,1194,4Merical Esports,1,0.0,0.0
gusion,152,1,0,1,0.0066,1.0,0.0,Umbrella Squad,1,1.0,2,0.0133,1,0.0067,3,0.0199,ONIC Esports,2,2.0,1.0,4,0.0263,3,0,1.0,760,0,ONIC Esports,2,2.0,1.0
